"customer_id","date_most_recent","recency_days","order_count","revenue","R_score","F_score","M_score","RFM_score"
9,2021-02-15,33,18,3145,4,4,4,444
34,2021-02-20,28,49,8631,4,4,4,444
41,2021-01-20,59,9,1925,4,4,4,444
47,2021-01-08,71,8,3222,4,4,4,444
71,2021-02-28,20,8,1924,4,4,4,444
83,2021-02-13,35,10,2274,4,4,4,444
105,2021-02-10,38,56,11399,4,4,4,444
111,2021-01-16,63,8,1923,4,4,4,444
115,2021-02-20,28,9,4661,4,4,4,444
136,2021-02-23,25,9,2699,4,4,4,444
142,2021-01-11,68,8,2645,4,4,4,444
174,2021-02-17,31,9,4127,4,4,4,444
229,2021-02-03,45,99,23261,4,4,4,444
239,2021-01-12,67,10,4695,4,4,4,444
247,2021-02-05,43,8,1908,4,4,4,444
295,2021-02-03,45,9,4092,4,4,4,444
347,2021-02-14,34,85,19606,4,4,4,444
351,2021-01-16,63,9,2064,4,4,4,444
421,2021-02-14,34,12,2775,4,4,4,444
449,2021-01-07,72,12,7032,4,4,4,444
460,2021-02-09,39,8,3715,4,4,4,444
461,2021-02-18,30,12,2702,4,4,4,444
469,2021-01-24,55,9,3806,4,4,4,444
484,2021-02-25,23,62,21950,4,4,4,444
499,2021-01-25,54,10,2823,4,4,4,444
524,2021-02-19,29,8,3423,4,4,4,444
528,2021-01-29,50,9,1883,4,4,4,444
557,2021-02-19,29,9,1882,4,4,4,444
569,2021-01-14,65,9,2055,4,4,4,444
599,2021-02-22,26,69,17970,4,4,4,444
624,2021-02-20,28,10,3515,4,4,4,444
640,2021-02-24,24,9,2288,4,4,4,444
670,2021-01-15,64,10,2587,4,4,4,444
687,2021-02-23,25,56,12166,4,4,4,444
721,2021-02-15,33,8,2224,4,4,4,444
738,2021-02-18,30,10,2521,4,4,4,444
771,2021-02-06,42,8,2827,4,4,4,444
940,2021-02-16,32,8,3551,4,4,4,444
978,2021-01-27,52,8,2537,4,4,4,444
1001,2021-02-22,26,11,1863,4,4,4,444
1005,2021-02-17,31,8,2919,4,4,4,444
1086,2021-02-13,35,11,2425,4,4,4,444
1090,2021-02-22,26,9,1950,4,4,4,444
1093,2021-01-24,55,8,3072,4,4,4,444
1128,2021-01-22,57,8,6969,4,4,4,444
1166,2021-01-06,73,9,2567,4,4,4,444
1174,2021-02-15,33,9,2309,4,4,4,444
1189,2021-02-21,27,9,2172,4,4,4,444
1191,2021-01-07,72,8,2427,4,4,4,444
1192,2021-02-12,36,9,5973,4,4,4,444
1213,2021-02-27,21,103,21963,4,4,4,444
1238,2021-02-20,28,11,3130,4,4,4,444
1246,2021-01-24,55,9,1988,4,4,4,444
1253,2021-01-15,64,8,3218,4,4,4,444
1317,2021-01-09,70,9,3377,4,4,4,444
1330,2021-02-21,27,11,6076,4,4,4,444
1360,2021-01-28,51,8,3374,4,4,4,444
1367,2021-01-07,72,8,2800,4,4,4,444
1489,2021-02-09,39,8,3049,4,4,4,444
1492,2021-01-27,52,8,2191,4,4,4,444
1501,2021-02-23,25,11,5644,4,4,4,444
1568,2021-01-15,64,8,3124,4,4,4,444
1569,2021-02-10,38,8,1843,4,4,4,444
1611,2021-01-18,61,8,1872,4,4,4,444
1613,2021-02-24,24,8,3245,4,4,4,444
1723,2021-02-11,37,9,2580,4,4,4,444
1756,2021-02-06,42,10,4147,4,4,4,444
1872,2021-02-02,46,11,4668,4,4,4,444
1892,2021-02-28,20,9,2056,4,4,4,444
1914,2021-01-18,61,8,3666,4,4,4,444
1971,2021-02-04,44,9,2361,4,4,4,444
2059,2021-02-20,28,8,3092,4,4,4,444
2277,2021-01-23,56,8,2513,4,4,4,444
2282,2021-02-13,35,8,4107,4,4,4,444
2292,2021-01-25,54,8,4747,4,4,4,444
2299,2021-01-29,50,11,3321,4,4,4,444
2340,2021-01-23,56,8,2535,4,4,4,444
2353,2021-01-11,68,9,3262,4,4,4,444
2357,2021-02-17,31,8,1839,4,4,4,444
2374,2021-02-23,25,9,3170,4,4,4,444
2381,2021-02-06,42,10,4078,4,4,4,444
2412,2021-02-15,33,11,2801,4,4,4,444
2424,2021-02-19,29,11,3603,4,4,4,444
2477,2021-01-25,54,8,2344,4,4,4,444
2485,2021-02-08,40,8,3989,4,4,4,444
2487,2021-01-11,68,8,1887,4,4,4,444
2488,2021-02-24,24,8,3309,4,4,4,444
2498,2021-02-01,47,8,2028,4,4,4,444
