"customer_id","date_most_recent","recency_days","order_count","revenue","R_score","F_score","M_score","RFM_score"
0,2019-09-14,553,9,2091,1,4,4,144
13,2020-10-14,157,6,2667,2,3,4,234
49,2020-10-11,160,11,1586,2,4,3,243
66,2020-08-19,213,8,722,2,4,2,242
73,2020-06-10,283,9,3069,2,4,4,244
95,2020-09-24,177,10,718,2,4,2,242
150,2020-08-05,227,7,2493,2,3,4,234
173,2020-08-08,224,10,991,2,4,2,242
204,2020-02-28,386,6,2179,1,3,4,134
249,2020-08-20,212,9,2349,2,4,4,244
267,2020-05-28,296,9,1273,1,4,3,143
311,2020-10-08,163,10,3360,2,4,4,244
350,2020-09-21,180,7,2054,2,3,4,234
358,2020-06-15,278,6,2855,2,3,4,234
362,2020-05-12,312,7,2885,1,3,4,134
368,2019-09-12,555,7,2410,1,3,4,134
374,2020-09-03,198,8,3451,2,4,4,244
388,2020-08-31,201,8,2251,2,4,4,244
390,2020-08-15,217,7,4167,2,3,4,234
398,2020-07-14,249,7,1865,2,3,4,234
402,2020-07-25,238,8,882,2,4,2,242
410,2020-05-20,304,7,2503,1,3,4,134
418,2020-08-05,227,6,2208,2,3,4,234
442,2019-09-24,543,6,1893,1,3,4,134
445,2020-05-02,322,10,2204,1,4,4,144
454,2020-10-10,161,8,2024,2,4,4,244
464,2020-09-30,171,11,3906,2,4,4,244
511,2020-08-16,216,8,966,2,4,2,242
513,2020-09-20,181,8,4951,2,4,4,244
516,2020-09-06,195,8,1528,2,4,3,243
523,2020-09-02,199,7,2231,2,3,4,234
534,2020-07-14,249,7,2006,2,3,4,234
537,2020-09-01,200,7,2553,2,3,4,234
541,2020-08-07,225,7,2175,2,3,4,234
548,2020-09-17,184,9,1036,2,4,3,243
559,2020-10-04,167,11,2133,2,4,4,244
560,2020-07-24,239,6,1919,2,3,4,234
576,2020-07-27,236,6,2907,2,3,4,234
581,2020-09-30,171,9,1626,2,4,3,243
635,2020-08-21,211,6,3146,2,3,4,234
639,2020-05-12,312,7,2787,1,3,4,134
646,2020-08-10,222,8,1272,2,4,3,243
655,2020-10-12,159,8,1121,2,4,3,243
658,2020-05-26,298,11,3605,1,4,4,144
659,2020-09-25,176,8,2264,2,4,4,244
660,2020-09-01,200,8,1145,2,4,3,243
678,2020-09-01,200,8,4427,2,4,4,244
695,2020-08-08,224,8,4284,2,4,4,244
698,2020-10-09,162,8,622,2,4,2,242
706,2020-05-13,311,6,2463,1,3,4,134
709,2020-08-30,202,8,854,2,4,2,242
714,2020-04-23,331,8,1888,1,4,4,144
729,2020-09-28,173,7,1874,2,3,4,234
733,2020-04-13,341,7,3726,1,3,4,134
